"id","address","sheet","label","type","format","formula","value","rules","version"
"6634","TLB4",NULL,"Incumbent Solution","text",NULL,NULL,"Avamar",NULL,"749"
"6635","TLC4",NULL,"Price","text","$0,0.00",NULL,"1267.00",NULL,"749"
"6636","TLD4",NULL,"Unit","text",NULL,NULL,"per TB",NULL,"749"
"6637","TLE4",NULL,"Discount %","text",NULL,NULL,"80.0%",NULL,"749"
"6638","TLF4",NULL,"Adjusted Price","text","$0,0.00",NULL,"253.40",NULL,"749"
"6639","TLG4",NULL,"Maint & Yearly","text",NULL,NULL,"18.0%",NULL,"749"
"6646","TLB5",NULL,"Incumbent Solution","text",NULL,NULL,"Commvault",NULL,"749"
"6647","TLC5",NULL,"Price","text","0,0.00",NULL,"3500.00",NULL,"749"
"6648","TLD5",NULL,"Unit","text",NULL,NULL,"per FETB",NULL,"749"
"6649","TLE5",NULL,"Discount %","text","0,0.0%",NULL,"0.80",NULL,"749"
"6650","TLF5",NULL,"Adjusted Price","text","0,0.0%",NULL,"700.00",NULL,"749"
"6651","TLG5",NULL,"Maint & Yearly","text",NULL,NULL,"18.0%",NULL,"749"
"6682","TLB6",NULL,"Incumbent Solution","text",NULL,NULL,"DD Boost",NULL,"749"
"6683","TLC6",NULL,"Price","text","0,0.00",NULL,"1000.00",NULL,"749"
"6684","TLD6",NULL,"Unit","text",NULL,NULL,"per client",NULL,"749"
"6685","TLE6",NULL,"Discount %","text","0,0.0%",NULL,"0.80",NULL,"749"
"6686","TLF6",NULL,"Adjusted Price","text","0,0.0%",NULL,"200.00",NULL,"749"
"6687","TLG6",NULL,"Maint & Yearly","text",NULL,NULL,"18.0%",NULL,"749"
"6688","TLB7",NULL,"Incumbent Solution","text",NULL,NULL,"Dell/EMC DPS",NULL,"749"
"6689","TLC7",NULL,"Price","text","0,0.00",NULL,"1100.00",NULL,"749"
"6690","TLD7",NULL,"Unit","text",NULL,NULL,"per TB",NULL,"749"
"6691","TLE7",NULL,"Discount %","text","0,0.0%",NULL,"0.80",NULL,"749"
"6692","TLF7",NULL,"Adjusted Price","text","0,0.0%",NULL,"220.00",NULL,"749"
"6693","TLG7",NULL,"Maint & Yearly","text",NULL,NULL,"18.0%",NULL,"749"
"6694","TLB8",NULL,"Incumbent Solution","text",NULL,NULL,"IDPA",NULL,"749"
"6695","TLC8",NULL,"Price","text","0,0.00",NULL,"1535.00",NULL,"749"
"6696","TLD8",NULL,"Unit","text",NULL,NULL,"per TB",NULL,"749"
"6697","TLE8",NULL,"Discount %","text","0,0.0%",NULL,"0.70",NULL,"749"
